State,Crime_Year,Population,Rates_Property_Theft,Rates_Violent_Robbery,Totals_Property_Theft,Totals_Violent_Robbery
Alabama,2019,4903185,531.9,80.4,26079,3941
Alaska,2019,731545,487.1,112.9,3563,826
Arizona,2019,7278717,394.3,88.1,28699,6410
Arkansas,2019,3017804,599.6,51.6,18095,1557
California,2019,39512223,386.1,132.4,152555,52301
Colorado,2019,5758736,348.4,63.6,20064,3663
Connecticut,2019,3565287,180.7,54.1,6441,1929
Delaware,2019,973764,304.8,81.1,2968,790
District of Columbia,2019,705749,261.1,384.4,1843,2713
Florida,2019,21477737,295.2,75.5,63396,16217
Georgia,2019,10617423,372.1,75,39506,7961
Hawaii,2019,1415872,377.2,79.9,5340,1131
Idaho,2019,1787065,219.7,8.7,3927,155
Illinois,2019,12671821,271.7,98.4,34433,12464
Indiana,2019,6732219,323.7,79.2,21795,5331
Iowa,2019,3155070,371.1,27.4,11710,863
Kansas,2019,2913314,342.7,44.4,9984,1293
Kentucky,2019,4467673,345.7,48.4,15443,2161
Louisiana,2019,4648794,579,86.6,26918,4025
Maine,2019,1344212,174.8,14,2350,188
Maryland,2019,6045680,278.9,152.2,16862,9203
Massachusetts,2019,6892503,179,52.4,12341,3613
Michigan,2019,9986857,286.1,53.6,28572,5350
Minnesota,2019,5639632,282.4,55.8,15927,3149
Mississippi,2019,2976149,627,57.1,18660,1700
Missouri,2019,6137428,430.4,80.8,26414,4959
Montana,2019,1068778,270.1,19.2,2887,205
Nebraska,2019,1934408,245.3,40.9,4745,792
Nevada,2019,3080156,503.5,106.7,15510,3286
New Hampshire,2019,1359711,126.3,23,1717,313
New Jersey,2019,8882190,184.6,64.5,16399,5730
New Mexico,2019,2096829,696.8,111.6,14610,2341
New York,2019,19453561,141.9,92.9,27600,18068
North Carolina,2019,10488084,519.1,72.5,54447,7599
North Dakota,2019,762062,342.2,23.5,2608,179
Ohio,2019,11689100,375.5,75.7,43894,8846
Oklahoma,2019,3956971,671.7,59.9,26577,2369
Oregon,2019,4217737,349.1,54,14724,2276
Pennsylvania,2019,12801989,182.4,76.1,23354,9743
Rhode Island,2019,1059361,219.1,39.5,2321,418
South Carolina,2019,5148714,533.4,64,27461,3294
South Dakota,2019,884659,299.1,22,2646,195
Tennessee,2019,6829174,437.4,90.1,29869,6150
Texas,2019,28995881,392.8,100,113902,28988
United States,2019,328239523,340.5,81.6,1117696,267988
Utah,2019,3205958,276.7,35.1,8871,1125
Vermont,2019,623989,204.3,11.4,1275,71
Virginia,2019,8535519,162.8,41.3,13900,3524
Washington,2019,7614893,453.6,67.6,34540,5147
West Virginia,2019,1792147,328.7,21.1,5891,378
Wisconsin,2019,5822434,217.6,51.4,12667,2991
Wyoming,2019,578759,241.2,11.6,1396,67
Alabama,2010,4785401,887.8,101.6,42484,4864
Alaska,2010,714146,434.8,83.2,3105,594
Arizona,2010,6413158,794.2,108.4,50932,6953
Arkansas,2010,2921588,1111.1,81.1,32463,2369
California,2010,37338198,612.9,155.6,228857,58116
Colorado,2010,5047692,519,62.7,26196,3164
Connecticut,2010,3575498,423.6,99.4,15145,3553
Delaware,2010,899792,839.1,204.4,7550,1839
District of Columbia,2010,604912,699.8,715,4233,4325
Florida,2010,18838613,897.7,138.5,169119,26086
Georgia,2010,9712157,998.2,127.4,96947,12372
Hawaii,2010,1363359,638.6,78.1,8706,1065
Idaho,2010,1571102,414.5,13.6,6513,213
Illinois,2010,12841980,603.3,158.7,77472,20386
Indiana,2010,6490622,748.3,101.1,48570,6559
Iowa,2010,3050202,549,33.2,16746,1012
Kansas,2010,2859143,675.6,53.8,19315,1538
Kentucky,2010,4347223,700.3,86.2,30443,3748
Louisiana,2010,4545343,999.6,116.5,45437,5297
Maine,2010,1327379,554.8,31,7364,412
Maryland,2010,5785681,634.4,191.1,36704,11054
Massachusetts,2010,6555466,578.2,105.2,37903,6897
Michigan,2010,9877143,752.7,116.7,74345,11522
Minnesota,2010,5310658,459.7,63.8,24415,3388
Mississippi,2010,2970072,1025.3,93.5,30453,2777
Missouri,2010,5995715,737.1,103.2,44197,6185
Montana,2010,990958,372.6,15.5,3692,154
Nebraska,2010,1830141,454.5,55.7,8318,1020
Nevada,2010,2704283,824.1,195.9,22286,5298
New Hampshire,2010,1316807,413.4,34.2,5444,450
New Jersey,2010,8799593,440.2,134.3,38732,11818
New Mexico,2010,2065913,1017.6,78.2,21023,1616
New York,2010,19395206,339.5,147.6,65839,28630
North Carolina,2010,9560234,1075.6,100.6,102826,9620
North Dakota,2010,674629,296.5,13.3,2000,90
Ohio,2010,11537968,928.5,142.9,107125,16486
Oklahoma,2010,3760184,1006.5,89,37848,3345
Oregon,2010,3838332,522,63.1,20035,2421
Pennsylvania,2010,12717722,434.1,128.8,55206,16375
Rhode Island,2010,1052528,581.8,74.3,6124,782
South Carolina,2010,4637106,997.6,108.2,46261,5017
South Dakota,2010,816598,390.9,18.9,3192,154
Tennessee,2010,6357436,1011.3,131.5,64293,8361
Texas,2010,25253466,905.2,130.1,228597,32843
United States,2010,309330219,701,119.3,2168459,369089
Utah,2010,2775479,543.9,45.7,15095,1269
Vermont,2010,625909,534.9,12.1,3348,76
Virginia,2010,8023953,383.9,70.8,30804,5678
Washington,2010,6742950,818.5,87.9,55192,5929
West Virginia,2010,1854368,581.2,41.8,10778,776
Wisconsin,2010,5691659,468,79.3,26636,4516
Wyoming,2010,564554,381,13.6,2151,77
Alabama,2014,4849377,3177.6,29.6,154094,1436
Alaska,2014,736732,2760,75.3,20334,555
Arizona,2014,6731484,3197.5,36.6,215240,2464
Arkansas,2014,2966369,3338,39.8,99018,1182
California,2014,38802500,2441.1,21.6,947192,8398
Colorado,2014,5355866,2530.1,39.6,135510,2121
Connecticut,2014,3596677,1920.4,15.9,69070,571
Delaware,2014,935614,2982,26.6,27900,249
District of Columbia,2014,658893,5182.5,53.4,34147,352
Florida,2014,19893297,3415.5,30.4,679446,6051
Georgia,2014,10097343,3281.2,21.4,331316,2159
Hawaii,2014,1419561,3050,22.1,43297,314
Idaho,2014,1634464,1854.8,28.6,30316,468
Illinois,2014,12880580,2075.9,23.9,267385,3081
Indiana,2014,6596855,2649.4,24.5,174776,1615
Iowa,2014,3107126,2093.8,26.6,65056,828
Kansas,2014,2904021,2735.2,37,79431,1075
Kentucky,2014,4413457,2246.9,20,99166,883
Louisiana,2014,4649676,3458.8,21.3,160824,992
Maine,2014,1330089,1986.4,27.1,26421,360
Maryland,2014,5976407,2507.5,19.1,149859,1144
Massachusetts,2014,6745408,1857.1,24.1,125267,1629
Michigan,2014,9909877,2043.9,40.9,202547,4049
Minnesota,2014,5457173,2297.5,26.6,125377,1452
Mississippi,2014,2994079,2921.2,25.5,87462,764
Missouri,2014,6063589,2906.5,28.1,176237,1706
Montana,2014,1023579,2472.9,42,25312,430
Nebraska,2014,1881503,2523.5,33,47479,620
Nevada,2014,2839099,2625.4,35,74538,995
New Hampshire,2014,1326813,1962.7,34.5,26041,458
New Jersey,2014,8938175,1734.1,10.7,154993,953
New Mexico,2014,2085572,3542.3,51.4,73877,1071
New York,2014,19746227,1718.2,19.8,339282,3918
North Carolina,2014,9943964,2873.1,17.5,285697,1740
North Dakota,2014,739482,2110.3,37.3,15605,276
Ohio,2014,11594163,2799.1,35.3,324528,4097
Oklahoma,2014,3878051,2990.7,32.9,115982,1277
Oregon,2014,3970239,2879,26.5,114305,1052
Pennsylvania,2014,12787209,1931.7,21.8,247016,2787
Rhode Island,2014,1055173,2173.6,24,22935,253
South Carolina,2014,4832482,3460.3,30.6,167217,1480
South Dakota,2014,853175,1863.9,48.4,15902,413
Tennessee,2014,6549352,3060.6,28.4,200447,1861
Texas,2014,26956958,3019.4,30.6,813934,8236
United States,2014,318857056,2596.1,26.4,8277829,84041
Utah,2014,2942902,2878.5,32.1,84711,945
Vermont,2014,626562,1524.4,15.8,9551,99
Virginia,2014,8326289,1930.3,17.2,160720,1432
Washington,2014,7061530,3706.1,30.7,261706,2171
West Virginia,2014,1850326,2034.7,15.4,37648,285
Wisconsin,2014,5757564,2088.3,20.3,120238,1168
Wyoming,2014,584153,1964.7,21.6,11477,126
